Country Name,2010,2011,2012,2013,2014
Kyrgyz Republic,1.171873015,1.388440866,1.806948388,1.720789566,1.646395339
Cambodia,0.350330567,0.358177248,0.369259354,0.372980821,0.437759998
Kiribati,0.607284807,0.595656245,0.584722313,0.574367715,0.564368357
St. Kitts and Nevis,4.276800467,4.442198977,4.18360556,4.207094359,4.2989449
"Korea, Rep.",11.43631663,11.80296873,11.63282456,11.74920084,11.57034541
Kuwait,29.89415136,28.52652872,30.13791232,27.33039211,25.22386443
Latin America & Caribbean (excluding high income),2.622306065,2.634371722,2.745712339,2.763729253,2.781101756
Lao PDR,0.262420284,0.256490777,0.264657252,0.242789462,0.297200884
Lebanon,4.622282052,4.455511197,4.603511835,4.279937348,4.295732552
Liberia,0.200619788,0.218929838,0.245544549,0.223290253,0.212967664
Libya,10.04374986,6.410366124,8.499773485,9.081136287,9.186845393
St. Lucia,2.33729285,2.341553914,2.3281208,2.31718661,2.307191321
Latin America & Caribbean,2.90513625,2.930914491,3.02585131,3.036040096,3.063307099
Least developed countries: UN classification,0.269364192,0.278625092,0.278405674,0.294525992,0.314163047
Low income,0.387171698,0.352098092,0.325237326,0.315277065,0.320595161
Liechtenstein,1.527789351,1.314554379,1.304446573,1.393766629,1.185229079
Sri Lanka,0.656664382,0.745132332,0.784926512,0.752460918,0.885247473
Lower middle income,1.338130533,1.443321829,1.511185754,1.439193365,1.474025508
Low & middle income,3.214217774,3.425672987,3.505953024,3.479149777,3.476109882
Lesotho,1.115976518,1.129856804,1.151021471,1.149963563,1.150111032
Late-demographic dividend,6.076883391,6.553544469,6.703792068,6.770471226,6.744762333
Lithuania,4.348616303,4.553301311,4.629509672,4.273657237,4.378090123
Luxembourg,21.6351358,21.10296963,20.08421949,18.49831971,17.36212137
Latvia,3.849593455,3.541113332,3.471747548,3.518240904,3.498192882
"Macao SAR, China",2.622363675,2.636261714,2.333713164,2.05052089,2.17984276
St. Martin (French part),,,,,
Morocco,1.726598065,1.755558226,1.881915344,1.746728972,1.744379974
Monaco,,,,,
Moldova,1.384630177,1.415302757,1.383552384,1.404532331,1.386829142
Madagascar,0.09257807,0.107595267,0.121103401,0.135748886,0.130421321
Maldives,2.56531353,2.629542746,2.876986973,2.749809385,3.26955985
Middle East & North Africa,5.847629161,5.793991934,6.099270394,5.92162696,6.159356049
Mexico,3.957657664,4.067755192,4.107686314,4.001602493,3.866241113
Marshall Islands,1.958531235,1.954169997,1.949680041,1.944879056,1.941018564
Middle income,3.551473666,3.797528431,3.896148298,3.872690404,3.874128243
North Macedonia,4.154450175,4.535127435,4.322883016,3.780523467,3.614938183
Mali,0.063974498,0.067247651,0.062083931,0.062311648,0.083228663
Malta,6.174949579,6.104795468,6.38190073,5.49231748,5.400613957
Myanmar,0.249531401,0.282824446,0.217129435,0.249963458,0.416600362
Middle East & North Africa (excluding high income),3.818795951,3.822477607,3.926381879,3.914188367,3.927253364
Montenegro,4.167664361,4.145547583,3.763898221,3.61855388,3.55607179
Mongolia,5.094989402,7.785441402,9.319217433,13.50693996,7.127326348
Northern Mariana Islands,,,,,
Mozambique,0.112940682,0.129247057,0.121535416,0.152038112,0.309666607
Mauritania,0.61971003,0.644099587,0.693144214,0.676497971,0.666822428
Mauritius,3.132082534,3.129998786,3.15928885,3.233909584,3.353110472
Malawi,0.075433298,0.075556876,0.06811283,0.073883522,0.07476291
Malaysia,7.771554746,7.697015882,7.497558969,7.961513999,8.032991579
North America,17.27103142,16.84234115,16.16730584,16.16049659,16.36232406
Namibia,1.427537652,1.277711305,1.495026357,1.134995165,1.583728667
New Caledonia,14.18347147,14.34505603,14.01671815,16.09223971,16.00593173
Niger,0.0714398,0.077789764,0.105264016,0.105275363,0.111073516
Nigeria,0.57711138,0.587523023,0.588789917,0.571126416,0.545622113
Nicaragua,0.790571277,0.840380212,0.786172383,0.765378513,0.808520856
Netherlands,11.01707086,10.4335386,10.16475883,10.31006279,9.920138075
Norway,12.2934545,9.124767216,9.940980235,11.45011884,9.270945132
Nepal,0.187128275,0.202491061,0.211798007,0.237169787,0.283538526
Nauru,4.389426434,4.010838222,3.924214418,4.066537289,4.021851008
New Zealand,7.305005861,7.185948221,7.747276831,7.531957408,7.686575825
OECD members,10.15804125,9.964278019,9.754415001,9.681807397,9.523556491
Oman,15.59053119,16.68986874,17.07526401,16.53740003,15.44316719
Other small states,6.564310308,6.78463419,7.007403494,6.68853493,7.519311831
Pakistan,0.946268168,0.929801105,0.918978434,0.904315983,0.896264105
Panama,2.515310074,2.723708675,2.680559818,2.792431187,2.254311363
Peru,1.96073385,1.667770946,1.82602434,1.869868254,1.993485949
Philippines,0.905495625,0.897333685,0.941558643,0.99642457,1.055456846
Palau,12.36067416,12.28326618,12.18918008,12.27007648,12.34270409
Papua New Guinea,0.670128424,0.732961333,0.683475587,0.814742393,0.814648807
Poland,8.313376825,8.328175875,7.879830064,7.946282506,7.517151585
Pre-demographic dividend,0.466651105,0.504192971,0.523535454,0.535839629,0.536757223
Puerto Rico,,,,,
